Ain 	Ainois
Aisne 	Axonais
Allier 	Bourbonnais, Élavérin
Alpes-de-Haute-Provence 	Bas-Alpin
Alpes-Maritimes 	Maralpin
Ardèche 	Ardéchois
Ariège 	Ariégeois
Ardennes 	Ardennais
Aube 	Aubois
Aude 	Audois
Aveyron 	Aveyronnais
Bas-Rhin 	Bas-Rhinois
Bouches-du-Rhône 	Bucco-Rhodanien
Calvados 	Calvadosien
Cantal 	Cantalien
Charente 	Charentais
Charente-Maritime 	Charentais-Maritime
Corrèze 	Corrézien
Corse-du-Sud 	Corse
Côte-d’Or 	Côte-d’Orien
Côtes-d’Armor 	Costamoricain
Creuse 	Creusois
Deux-Sèvres 	Deux-Sévrien
Dordogne 	Dordognais
Doubs 	Doubien
Drôme 	Drômois
Essonne 	Essonnien
Eure 	Eurois
Eure-et-Loir 	Eurélien
Finistère 	Finistérien
Gard 	Gardois
Gers 	Gersois
Gironde 	Girondin
Guadeloupe 	Guadeloupéen
Guyane 	Guyanais
Haute-Corse 	Corse
Haute-Garonne 	Haut-Garonnais
Haute-Loire 	Altiligérien
Haute-Marne 	Haut-Marnais
Hautes-Alpes 	Haut-Alpin
Haute-Saône 	Haut-Saônois
Haute-Savoie 	Haut-Savoyard
Hautes-Pyrénées 	Haut-Pyrénéen
Haute-Vienne 	Haut-Viennois
Haut-Rhin 	Haut-Rhinois
Hauts-de-Seine 	Altoséquanais, Haut-Seinais
Hérault 	Héraultais
Indre 	Indrien
Isère 	Isérois, Iseran
Jura 	Jurassien
Landes 	Landais
La Réunion 	Réunionais
Loir-et-Cher 	Loir-et-Chérien
Loire 	Ligérien
Lot 	Lotois
Lot-et-Garonne 	Lot-et-Garonnais
Lozère 	Lozèrien
Manche 	Manchois
Marne 	Marnais
Martinique 	Martiniquais
Mayenne 	Mayennais
Mayotte 	Mahorais
Meurthe-et-Moselle 	Meurthe-et-Mosellan
Meuse 	Meusien
Morbihan 	Morbihannais
Moselle 	Mosellan
Nièvre 	Nivernais
Nord 	Nordiste
Oise 	Isarien
Orne 	Ornais
Paris 	Parisien
Pas-de-Calais 	Pas-de-Calaisien
Puy-de-Dôme 	Puydomois
Rhône 	Rhodanien
Saône-et-Loire 	Saône-et-Loirien
Sarthe 	Sarthois
Savoie 	Savoyard
Seine-et-Marne 	Seine-et-Marnais
Seine-Maritime 	Seinomarin
Seine-Saint-Denis 	Séquano-Dyonisien
Somme 	Sommois
Tarn 	Tarnais
Tarn-et-Garonne 	Tarn-et-Garonnais
Territoire de Belfort 	Belfortain
Val-de-Marne 	Valdemarnais
Val-d’Oise 	Valdoisien
Var 	Varois
Vaucluse 	Vauclusien
Vendée 	Vendéen
Vienne 	Viennois
Vosges 	Vosgien
Yonne 	Icaunais
Yvelines 	Yvelinois
