Alabama 	Alabamien, Alabamain
Alaska 	Alaskain, Alaskien
Arizona 	Arizonien, Arizonais
Arkansas 	Arkansasais, Arkansasien
Californie 	Californien
Caroline 	Carolinien
Caroline du Nord 	Nord-Carolinien
Caroline du Sud 	Sud-Carolinien
Colorado 	Coloradien, Coloradoain
Connecticut 	Connecticutais
Dakota 	Dakotain
Dakota du Nord 	Nord-Dakotain
Dakota du Sud 	Sud-Dakotain
Delaware 	Delawarien
Floride 	Floridien
Géorgie 	Géorgien
Idaho 	Idahoain
Illinois 	Illinoisais
Indiana 	Indianien
Iowa 	Iowien
Kansas 	Kansasais, Kansasien
Kentucky 	Kentuckien
Louisiane 	Louisianais
Maine 	Mainois
Maryland 	Marylandais
Massachusetts 	Massachusettais
Michigan 	Michiganais
Minnesota 	Minnésotain, Minnésotien
Mississippi 	Mississippien
Missouri 	Missourien
Montana 	Montanien, Montanais
Nebraska 	Nébraskain
Nébraska 	Nébraskain
Nevada 	Névadain, Névadais
Névada 	Névadain, Névadais
New Hampshire 	New-Hampshirois
New Jersey 	New-Jerséyen, New-Jersiais, Néo-Jersiais
New York 	New-Yorkais, Nouillorquais
Nouveau-Mexique 	Néo-Mexicain
Ohio 	Ohioain
Oklahoma 	Oklahomain, Oklahomien, Oklahomais
Oregon 	Orégonais, Orégonien
Orégon 	Orégonais, Orégonien
Pennsylvanie 	Pennsylvanien
Rhode Island 	Rhode-Islandais
Tennessee 	Tennesséen
Texas 	Texan
Utah 	Utahain
Vermont 	Vermontais
Virginie 	Virginien
Virginie-Occidentale 	Ouest-Virginien
Washington 	Washingtonien
Wisconsin 	Wisconsinois
Wyoming 	Wyomingais
