Abkhazie 	Abkhaze
Abyssinie 	Abyssinien
Afghanistan 	Afghan
Afrique du Sud 	Sud-Africain
Åland 	Aalandais
Albanie 	Albanais
Alberta 	Albertain
Algérie 	Algérien
Allemagne 	Allemand
Allemagne de l'Est	Est-Allemand
Allemagne de l'Ouest	Ouest-Allemand
Alsace 	Alsacien
Andorre 	Andorran
Angola 	Angolais
Anguilla 	Anguillan
Annam 	Annamite
Antarctique ou Antarctide 	Antarcticain
Antigua-et-Barbuda 	Antiguais-Barbudien
Antigua 	Antiguais
Barbuda 	Barbudien
Aquitaine 	Aquitain
Arabie saoudite 	Saoudien
Aragon 	Aragonais
Arcadie 	Arcadien
Argentine 	Argentin
Arménie 	Arménien
Aruba 	Arubéen, Arubain
Asie 	Asiatique
Assyrie 	Assyrien
Asturies 	Asturien
Aunis 	Aunisien
Aurigny 	Aurignais
Australie 	Australien
Autriche 	Autrichien
ex-Autriche-Hongrie 	ex-Austro-Hongrois
Azerbaïdjan 	Azéri (féminin Azérie), Azerbaïdjanais
Bahamas 	Bahaméen, Bahamien
Bahreïn 	Bahreïni (féminin Bahreïnie), Bahreïnite
Baléares 	Baléare
Bali 	Balinais
Bangladesh 	Bangladeshi (féminin Bangladeshie), Bangladais
Barbade 	Barbadien
pays Basque 	Basque, Basquais, Euscarien
Bélarus ou Biélorussie 	Bélarusse, Biélorusse
Belgique 	Belge
Belize 	Bélizien
Bengale 	Bengali, Bengalais
Bénin 	Béninois
ex-Dahomey 	ex-Dahoméen
Bermudes 	Bermudien
Bhoutan 	Bhoutanais
Biafra 	Biafrais
Birmanie 	Birman
Bolivie 	Bolivien
Bonaire 	Bonairien
Bophuthatswana 	Tswana (masculin et féminin identiques)
Bosnie	Bosnien
Botswana 	Botswanais
Brésil 	Brésilien
Brunéi ou Brunei 	Brunéien, Bruneien
Bulgarie 	Bulgare
Burkina Faso 	Burkinabè (accord régulier ou invariable), Burkinabé (accord régulier ou invariable), Burkinais, Burkinabais, Burkinabe, Burkina-be, Burkina-fassien
ex-Haute-Volt	ex-Voltaïque
Burundi ou Bouroundi 	Burundais, Bouroundais
îles Caïmanes ou îles Caïmans 	Caïmanais, Caïmanien
Cambodge	Cambodgien, Khmer (féminin Khmère))
ex-Kampuchea 	ex-Kampuchéen
Cameroun 	Camerounais
Canada 	Canadien
Canaries 	Canarien
Cap-Vert 	Cap-Verdien, Capverdien
Ceylan 	Cingalais, Cinghalais, Ceylanais
Chaldée	Chaldéen
Chili 	Chilien
Chine 	Chinois
Chypre 	Chypriote, Cypriote
Ciskei 	Ciskéien
Colombie 	Colombien
Colombie-Britannique 	Britanno-Colombien
Comores 	Comorien
Congo	Congolais
ex-Zaïre 	ex-Zaïrois
îles Cook 	Cookien
Corée du Nord 	Coréen, Nord-Coréen
Corée du Sud 	Coréen, Sud-Coréen
Costa Rica 	Costaricain, Costaricien
Côte d’Ivoire 	Ivoirien
Croatie 	Croate
Cuba 	Cubain
Danemark 	Danois
Djibouti 	Djiboutien
Dominique 	Dominiquais
Écosse 	Écossais
Égypte 	Égyptien
Émirats arabes unis 	Émirien, Émirati (féminin Émiratie)
Équateur 	Équatorien
Érythrée 	Érythréen
Espagne 	Espagnol
Estonie 	Estonien, Este
États-Unis d’Amérique ou États-Unis 	Américain, États-Unien, Étatsunien, Étasunien, Ricain, Amerloque, Amerlot
Éthiopie 	Éthiopien
ex-Abyssinie 	ex-Abyssinien
îles Falkland ou îles Malouines 	Falklandais, Malouin
îles Féroé 	Féroïen
Fidji 	Fidjien
Finlande 	Finlandais
France 	Français
Gabon 	Gabonais
pays de Galles 	Gallois
Gambie 	Gambien
Géorgie 	Géorgien
Ghana 	Ghanéen
Gibraltar	Gibraltarien
Grande-Bretagne 	Britannique, Grand-Breton
Grèce 	Grec (féminin Grecque), Hellène
Grenade 	Grenadien, Grenadin
Groenland	Groenlandais
