Acadie	Acadien
Açores	Açoréen, Açorien
Afrique 	Africain
Alberta	Albertain
Alsace	Alsacien
Amazonie	Amazonien
Amérique 	Américain
Amérique centrale 	Centro-Américain
Amérique du Nord 	Nord-Américain
Amérique du Sud 	Sud-Américain
Amérique latine 	Latino-Américain
Andalousie	Andalou
Angleterre	Anglais
îles Anglo-Normandes	Îleman, Normand insulaire
Armorique	Armoricain
Artois	Artésien
Asturies	Asturien
Béotie	Béotien
Bohême 	Bohémien
Bourbonnais	Bourbonnais
Bourgogne	Bourguignon
Brabant	Brabançon
Bretagne	Breton
Calabre	Calabrais
Camargue	Camarguais, Camarguin, Camarguen
Castille	Castillan
Catalogne	Catalan
Cévennes	Cévenol
Cornouailles	Cornouaillais
Corse	Corse
Côte-Nord	Nord-Côtier
Curaçao 	Curaçaoan
Flandre 	Flamand
Galice	Galicien
Hainaut	Hennuyer, Hannuyer, Hainuyer
Hollande	Hollandais
Java	Javanais
Kabylie	Kabyle
Kamouraska	Kamouraskois
Katanga	Katangais
Kivu	Kivutien
Kosovo ou Kossovo	Kosovar (féminin Kosovare), Kossovar (féminin Kossovare)
Lihou	Lihouard
Limousin	Limousin, Limougeaud
Lombardie	Lombard
Lorraine	Lorrain
Maghreb 	Maghrébin
Maine	Manceau, Mainois
Manitoba	Manitobain
Minganie	Minganien
Nord	Nordiste, Ch’timi, Ch’ti
Normandie	Normand
Nouveau-Brunswick	Néo-Brunswickois
Nouvelle-Écosse	Néo-Écossais
Nouvelle-Galles-du-Sud	Néo-Gallois
Nunavik	Nunavimiuq (pluriel Nunavimiut)
Nunavut	Nunavumiuq (pluriel Nunavumiut) (francophone Nunavois)
Ontario	Ontarien (francophone Ontarois)
Orcades	Orcadien
Pays de la Loire	Ligérien
Picardie	Picard
Piémont	Piémontais
Proche-Orient 	Proche-Oriental
Québec	Québécois, Québecois
Saba 	Sabéen
Saint-Eustache 	Statien
Sénégambie 	Sénégambien
Shetland	Shetlandais
Sicile	Sicilien
Territoires du Nord-Ouest	Ténois, Territorien
Terre-Neuve	Terreneuvien, Terre-Neuvien, Newfie
Labrador	Labradorien
Yukon	Yukonnais
